trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
250,False,"{'a': 0.01, 'e': 0.08290996657517266}",20,0,12.390623000293203,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
251,False,"{'a': 0.01, 'e': 0.0820849986238988}",30,22,12.892173621246487,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.01, 'e': 0.08126823924089167}",20,14,10.449865649464876,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.01, 'e': 0.08045960674953244}",20,13,12.69868318363319,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.01, 'e': 0.07965902028589801}",25,15,19.347311812352423,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.01, 'e': 0.07886639979067495}",20,2,28.58349315844837,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.01, 'e': 0.07808166600115313}",20,12,17.247004815843425,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.01, 'e': 0.07730474044329974}",30,16,26.271096910935114,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.01, 'e': 0.07653554542391151}",25,7,25.555360246388762,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
259,False,"{'a': 0.01, 'e': 0.07577400402284548}",30,18,21.395724169434484,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.01, 'e': 0.07502004008532698}",20,0,33.682537346792664,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
261,False,"{'a': 0.01, 'e': 0.07427357821433388}",25,17,11.670656375933017,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.01, 'e': 0.0735345437630571}",20,10,19.22009062779181,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.01, 'e': 0.07280286282743559}",25,18,14.645463660232725,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.01, 'e': 0.0720784622387661}",20,13,12.77506443982914,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.01, 'e': 0.07136126955638605}",25,4,36.99524223607353,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.01, 'e': 0.0706512130604296}",30,23,10.85476566163182,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.01, 'e': 0.06994822174465536}",25,19,13.413335287004921,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.01, 'e': 0.069252225309346}",20,10,19.261460964337324,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.01, 'e': 0.06856315415427791}",20,11,18.02833655521576,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.01, 'e': 0.06788093937176144}",30,21,15.66300509482808,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.01, 'e': 0.06720551273974976}",20,5,22.945938138763406,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.01, 'e': 0.06653680671501686}",25,13,18.704029422274093,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.01, 'e': 0.06587475442640295}",20,10,20.34562670654315,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.01, 'e': 0.06521928966812753}",20,11,17.428554193889113,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.01, 'e': 0.06457034689316847}",20,0,26.586002384073986,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
276,False,"{'a': 0.01, 'e': 0.06392786120670757}",30,13,24.73836702605999,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.01, 'e': 0.0632917683596407}",25,13,20.21853728596782,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.01, 'e': 0.06266200474215315}",20,10,20.490431718292033,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.01, 'e': 0.06203850737735829}",25,0,39.975561810191635,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
280,False,"{'a': 0.01, 'e': 0.06142121391500013}",30,21,10.545348237631057,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.01, 'e': 0.06081006262521795}",25,12,14.667133620855813,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
